osmid,y,x,node_id
1985069527,37.7521004,-122.4705648,8347
1985091613,37.7725385,-122.3939675,8348
1985091614,37.7720186,-122.3933167,8349
1996007232,37.7135265,-122.4365937,8350
1996007260,37.7141447,-122.436168,8351
1996007301,37.7625227,-122.4345432,8352
1996007303,37.7134939,-122.43672,8353
1998017252,37.7694731,-122.3944287,8354
2020113650,37.733841,-122.4358659,8355
2020113663,37.7339126,-122.4358414,8356
2063966770,37.766165,-122.3949409,8357
2071244784,37.8049634,-122.4036563,8358
2071244791,37.8085859,-122.4125285,8359
2072458846,37.7481056,-122.4661956,8360
2072465085,37.7538862,-122.4685597,8361
2072465118,37.755052,-122.4684912,8362
2072465136,37.7528011,-122.4680034,8363
2080819762,37.8020165,-122.4493813,8364
2081671274,37.793691,-122.4179542,8365
2081705811,37.8066664,-122.4205641,8366
2086914139,37.7699198,-122.418149,8367
2131460978,37.7337286,-122.4972036,8368
2163049313,37.7847462,-122.4311813,8369
2179292612,37.7660951,-122.4640433,8370
2236649167,37.7823464,-122.4473094,8371
2245808281,37.7338798,-122.4488987,8372
2245808290,37.7337554,-122.4493547,8373
2248769212,37.7708655,-122.4245898,8374
2249879673,37.7736431,-122.391484,8375
2249879677,37.7737348,-122.389882,8376
2249879687,37.7708017,-122.3945544,8377
2249911773,37.7670753,-122.3957718,8378
2249911790,37.7664848,-122.3962945,8379
2253031332,37.8224426,-122.3688496,8380
2253031345,37.8310832,-122.37094,8381
2265957510,37.7620605,-122.4284481,8382
2286930469,37.7235394,-122.4281125,8383
2286930473,37.7235684,-122.4280263,8384
2286930479,37.7236217,-122.4281388,8385
2286930480,37.7236381,-122.4280674,8386
2286930493,37.7350152,-122.3754721,8387
2287779377,37.7450452,-122.4729518,8388
2287779381,37.7450782,-122.4722033,8389
2304626301,37.7700362,-122.4038238,8390
2304626334,37.7697593,-122.4044507,8391
2304626336,37.7700581,-122.4039135,8392
2304626355,37.7699874,-122.4037668,8393
2304626359,37.7697989,-122.4038475,8394
2304626360,37.770003,-122.4040555,8395
2304626363,37.7700233,-122.4040322,8396
2304883697,37.7631937,-122.445725,8397
2315555430,37.7695851,-122.4164133,8398
2315778209,37.7349622,-122.4659564,8399
2315778350,37.7282345,-122.4639432,8400
2315778415,37.7311439,-122.471655,8401
2315778424,37.7351335,-122.4644744,8402
2317635132,37.7399259,-122.4640832,8403
2317635138,37.7402146,-122.4614169,8404
2317635181,37.7399821,-122.4612945,8405
2317635240,37.7348454,-122.4625568,8406
2317635269,37.7354871,-122.460878,8407
2317635340,37.7328544,-122.4604797,8408
2317635432,37.7343813,-122.4593813,8409
2317635436,37.7400451,-122.4611683,8410
2317635493,37.7403212,-122.4604077,8411
2317662697,37.7467095,-122.4182949,8412
2317662715,37.7467034,-122.4183326,8413
2317662718,37.7458733,-122.4176106,8414
2317760294,37.7365187,-122.4526209,8415
2317760653,37.7402266,-122.4588634,8416
2317760692,37.7355552,-122.4597729,8417
2317961295,37.7387164,-122.4452579,8418
2317961361,37.7382001,-122.4436643,8419
2317961402,37.738171,-122.4436127,8420
2317961406,37.7362929,-122.4443767,8421
2317999441,37.7342865,-122.4483454,8422
2317999448,37.7376808,-122.4468189,8423
2317999469,37.7338122,-122.4506583,8424
2317999508,37.737457,-122.446432,8425
2317999541,37.7349829,-122.4489052,8426
2318037193,37.7366713,-122.4416087,8427
2318058022,37.7436084,-122.4516137,8428
2318058072,37.7426011,-122.4507656,8429
2320368478,37.733469,-122.4443336,8430
